"","site_id","median","mean","min","max","sd","last_year"
"247","SWIS",1608,1608,1608,1608,NA,1985
"248","TAYH",12900,18737.33,8312,35000,14269.48,2010
"249","TENM",182,182,172,192,14.14,2011
"250","THOR",5917,5917,1834,10000,5774.23,2006
"251","TORG",17300,15992,11046,18000,2790.31,1986
"252","TORI",228,224.63,26,440,95.41,2004
"253","TRUN",694,694,694,694,NA,2013
"254","TRYN",27578,27578,27578,27578,NA,2011
"255","TSIS",944,4741.33,876,12404,6636.15,2016
"256","TURR",340,331.14,182,492,114.36,2016
"257","UFSI",4242,4242,3884,4600,506.29,2009
"258","UIP1",NA,NA,Inf,-Inf,NA,2013
"259","UIP2",80,80,80,80,NA,2011
"260","UIP3",246,246,246,246,NA,2011
"261","UIPN",13786,13786,13786,13786,NA,2011
"262","UNGE",276,366.67,214,610,213,2011
"263","UNN2",0,0,0,0,NA,2011
"264","UNN7",11338,11338,11338,11338,NA,2011
"265","VESN",107236,107236,90994,123478,22969.66,2012
"266","VESS",233346,233346,202594,264098,43489.9,2012
"267","VIEU",960,960,720,1200,339.41,2013
"268","VORT",2965,3779.5,550,8638,3939.03,2011
"269","WAIT",1092,1092,1092,1092,NA,2010
"270","WATT",5594,5594,5594,5594,NA,2012
"271","WAYA",11994,11994,11994,11994,NA,2011
"272","WEDD",57014,57014,57014,57014,NA,2011
"273","WELL",8,8,8,8,NA,2013
"274","WHEA",4155,4765.88,3026,11694,2068.28,2018
"275","WHTY",8595,11608.33,5654,21642,6868.49,2011
"276","WIDE",200,200,200,200,NA,1960
"277","WINK",64,64,64,64,NA,2013
"278","WOOD",3990,4120.84,2600,6304,1214.17,2018
"279","WOPT",20962,20962,20962,20962,NA,2010
"280","WPEC",924,2781.6,784,9306,3678.26,2011
"281","WYAT",2056,2056,2056,2056,NA,2011
"282","YALO",5881,11358.5,3796,50000,13014.26,2020
"283","YOUN",NA,NA,Inf,-Inf,NA,2002
"284","YTRE",100,125.33,26,244,69.25,2004
